location,subject,year,pisa_read,pisa_math,location_name,continent
AUS,BOY,2000,513.0,NA,Australia,Australia
AUS,BOY,2003,506.0,527.0,Australia,Australia
AUS,BOY,2006,495.0,527.0,Australia,Australia
AUS,BOY,2009,496.0,519.0,Australia,Australia
AUS,BOY,2012,495.09,510.115,Australia,Australia
AUS,BOY,2015,487.0,497.0,Australia,Australia
AUS,BOY,2018,487.0,494.0,Australia,Australia
AUS,GIRL,2000,546.0,NA,Australia,Australia
AUS,GIRL,2003,545.0,522.0,Australia,Australia
AUS,GIRL,2006,532.0,513.0,Australia,Australia
AUS,GIRL,2009,533.0,509.0,Australia,Australia
AUS,GIRL,2012,529.5419999999999,497.82099999999997,Australia,Australia
AUS,GIRL,2015,519.0,491.0,Australia,Australia
AUS,GIRL,2018,519.0,488.0,Australia,Australia
AUT,BOY,2000,476.0,NA,Austria,Europe
AUT,BOY,2003,467.0,509.0,Austria,Europe
AUT,BOY,2006,468.0,517.0,Austria,Europe
AUT,BOY,2012,471.093,516.682,Austria,Europe
AUT,BOY,2015,475.0,510.0,Austria,Europe
AUT,BOY,2018,471.0,505.0,Austria,Europe
AUT,GIRL,2000,509.0,NA,Austria,Europe
AUT,GIRL,2003,514.0,502.0,Austria,Europe
AUT,GIRL,2006,513.0,494.0,Austria,Europe
AUT,GIRL,2012,508.02099999999996,494.462,Austria,Europe
AUT,GIRL,2015,495.0,483.0,Austria,Europe
AUT,GIRL,2018,499.0,492.0,Austria,Europe
BEL,BOY,2000,492.0,NA,Belgium,Europe
BEL,BOY,2003,489.0,533.0,Belgium,Europe
BEL,BOY,2006,482.0,524.0,Belgium,Europe
BEL,BOY,2009,493.0,526.0,Belgium,Europe
BEL,BOY,2012,492.755,520.081,Belgium,Europe
BEL,BOY,2015,491.0,514.0,Belgium,Europe
BEL,BOY,2018,482.0,514.0,Belgium,Europe
BEL,GIRL,2000,525.0,NA,Belgium,Europe
BEL,GIRL,2003,526.0,525.0,Belgium,Europe
BEL,GIRL,2006,522.0,517.0,Belgium,Europe
BEL,GIRL,2009,520.0,504.0,Belgium,Europe
BEL,GIRL,2012,524.602,508.935,Belgium,Europe
BEL,GIRL,2015,507.0,500.0,Belgium,Europe
BEL,GIRL,2018,504.0,502.0,Belgium,Europe
CAN,BOY,2000,519.0,NA,Canada,North America
CAN,BOY,2003,514.0,541.0,Canada,North America
CAN,BOY,2006,511.0,534.0,Canada,North America
CAN,BOY,2009,507.0,533.0,Canada,North America
CAN,BOY,2012,505.51199999999994,523.154,Canada,North America
CAN,BOY,2015,514.0,520.0,Canada,North America
CAN,BOY,2018,506.0,514.0,Canada,North America
CAN,GIRL,2000,551.0,NA,Canada,North America
CAN,GIRL,2003,546.0,530.0,Canada,North America
CAN,GIRL,2006,543.0,520.0,Canada,North America
CAN,GIRL,2009,542.0,521.0,Canada,North America
CAN,GIRL,2012,540.6569999999999,513.0219999999999,Canada,North America
CAN,GIRL,2015,540.0,511.0,Canada,North America
CAN,GIRL,2018,535.0,510.0,Canada,North America
CZE,BOY,2000,473.0,NA,Czech Republic,Europe
CZE,BOY,2003,473.0,524.0,Czech Republic,Europe
CZE,BOY,2006,463.0,514.0,Czech Republic,Europe
CZE,BOY,2009,456.0,495.0,Czech Republic,Europe
