Archief,toegang,inv.,seller,year,month,day,product,specific_product,units,quantity,Achternaam,Voornaam,currency,flemish_pounds,groten
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1725,11,12,Coffij,Ceylons,ponden,1649,Ribaut,Casparus,Vlaamse pond,296,13
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1726,8,28,Coffij,Mochas,ponden,1259,Balen,Jacobus,Vlaamse pond,252,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1726,8,28,Coffij,Mochas,ponden,1249,Beukelaar,Jan,Vlaamse pond,248,16
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3638,Boogaart,Lodewijk van den,Vlaamse pond,4999,12
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1258,Breda,Jan van,Vlaamse pond,173,18
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,84724,Beukelaar,Jan,Vlaamse pond,11942,19
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3636,Thijssen,Pieter,Vlaamse pond,499,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2472,Tuijneman,Daniel,Vlaamse pond,347,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2480,Zeun,Nicolaas van,Vlaamse pond,350,14
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,107180,Boursse en Grimalla,,Vlaamse pond,14914,5
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,19744,Six ,Pieter,Vlaamse pond,2763,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,14580,Boudaan,Abraham,Vlaamse pond,2039,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,276530,Ribaut,Casparus,Vlaamse pond,40009,13
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3742,Tack Abrahamszn.,Jan,Vlaamse pond,524,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,4886,Bomme,Jan,Vlaamse pond,683,9
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2484,Schellewaart,Jacob,Vlaamse pond,347,9
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1226,Janette,Daniel,Vlaamse pond,170,17
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3684,Clerq en Zoon,Pieter de,Vlaamse pond,522,4
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3750,Blondel,Jan,Vlaamse pond,526,8
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2514,Loos,Anthonij de,Vlaamse pond,351,12
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2442,Burt,Cornelis,Vlaamse pond,342,17
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,6198,Parker,Isaak,Vlaamse pond,866,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,8368,Huijen,Joost van ,Vlaamse pond,1129,19
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,7406,Kinderen,Pieter der,Vlaamse pond,1042,5
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2472,Lohnis,Adolph,Vlaamse pond,345,15
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2470,Esse,Pieter van Junior,Vlaamse pond,345,9
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3674,Tulleken,Isaak,Vlaamse pond,511,19
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1218,Tulleken,Amrobosius,Vlaamse pond,169,14
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1242,Goethals,Jacob,Vlaamse pond,174,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1246,Elst,Abraham Van der,Vlaamse pond,176,4
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3706,Akeren,Adriaan van ,Vlaamse pond,525,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,3702,Bertand,Paulus,Vlaamse pond,524,16
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1240,Crane,Jacobus de,Vlaamse pond,175,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1222,Velde,Wed.Jan van de,Vlaamse pond,174,1
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2428,Blommaart,Andries,Vlaamse pond,343,14
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1222,Larrij,Jan,Vlaamse pond,170,5
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1236,Bevenage,Abraham van,Vlaamse pond,172,4
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1190,Isaak en Zoon,,Vlaamse pond,156,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,2456,Febre,Daniel le,Vlaamse pond,340,19
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,1208,Waardenburg,Nicolaas van,Vlaamse pond,168,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1727,10,27,Coffij,Divers,ponden,904,Callebout,Boudewijn,Vlaamse pond,135,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1728,4,19,Coffij,Bonen Javaans,ponden,552,Burt,Cornelis,Vlaamse pond,58,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,25678,Dane ,Anthonij,Vlaamse pond,4108,13
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,18271,Boudaan,Abraham,Vlaamse pond,2920,14
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,334960,Ribaut,Casparus,Vlaamse pond,53257,11
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,231900,Beukelaar,Jan,Vlaamse pond,36841,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,23273,Bomme,Jan,Vlaamse pond,3716,5
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,307192,Boursse en Grimalla,,Vlaamse pond,48830,5
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,3691,Grimalla,Pieter Lucas,Vlaamse pond,597,4
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,9872,Blondel,Jan,Vlaamse pond,1580,5
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1275,Deijnout,Geleijn,Vlaamse pond,211,18
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,25351,Huijen,Joost van ,Vlaamse pond,4056,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,8559,Breda,Jan van,Vlaamse pond,1374,1
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,9073,Elst en Goethals,Van der,Vlaamse pond,1462,8
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,3719,Thijssen,Pieter,Vlaamse pond,595,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,12378,Burt,Cornelis,Vlaamse pond,1974,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,7336,Loos,Anthonij de,Vlaamse pond,1168,15
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1231,Tulleken,Isaak,Vlaamse pond,196,19
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2468,Cliever,Jacobus de,Vlaamse pond,394,17
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,5019,Louissen,Benjamin,Vlaamse pond,791,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1211,Boullion,Allard,Vlaamse pond,193,15
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,4776,Kops,Pieter,Vlaamse pond,753,10
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1215,Steenaart,Cornelis,Vlaamse pond,194,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1207,Willemsen,Abraham,Vlaamse pond,193,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,6023,Clerq en Zoon,Wed.,Vlaamse pond,960,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2522, Sage,Wed. Benjamin le,Vlaamse pond,402,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2442,Boer,Thobias den,Vlaamse pond,389,9
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1205,Bossche,Justus van den,Vlaamse pond,192,16
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1163,Spruijt,Govert,Vlaamse pond,184,17
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1173,Grenot,Jacques,Vlaamse pond,186,9
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1207,Huijse,Jan,Vlaamse pond,193,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1201,Pencos,Jacobus,Vlaamse pond,192,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1181,Bertrand,Paulus,Vlaamse pond,188,19
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,3587,Pee,Michiel van ,Vlaamse pond,571,8
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1207,Macron,Philip,Vlaamse pond,193,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,3655,Rojer,Anthonij du,Vlaamse pond,582,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1189,Nevejans,Andries,Vlaamse pond,190,4
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2386,Tack Abrahamszn. en Zoon,Samuel,Vlaamse pond,379,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2410,Thobias,Schellewaart,Vlaamse pond,383,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,7152,Bomme,Leendert,Vlaamse pond,1137,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2330,Face,Jeremias van,Vlaamse pond,370,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1263,Neteson,Pieter,Vlaamse pond,202,1
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,3595,Esse,Pieter van Junior,Vlaamse pond,572,14
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1167,Roeterings,Pieter,Vlaamse pond,185,10
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2376,Feijter,Johannes de,Vlaamse pond,377,24
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1179,Vijver,Jan van de,Vlaamse pond,187,8
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1173,Mortier,Pieter,Vlaamse pond,186,9
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1183,Akeren,Adriaan van,Vlaamse pond,188,1
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2334,Corte,Cornelis de,Vlaamse pond,371,
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1209,Goethem,Pieter van,Vlaamse pond,192,4
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,3635,Herklots,Gregorius,Vlaamse pond,575,8
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1253,Harde,Jan Philip ,Vlaamse pond,199,3
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2374,Tack Abrahamszn. ,jan,Vlaamse pond,377,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1245,Slegten,Albertus van den,Vlaamse pond,196,12
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,2510,Wombergen,Anthonij van,Vlaamse pond,400,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1207,Reyniersen,Bastiaan,Vlaamse pond,191,17
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1731,11,12,Coffij,Divers,ponden,1191,Bel,Jan de,Vlaamse pond,189,6
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1732,11,17,Coffij,Javaans en Ceylons,ponden,158458,Ribaut,Casparus,Vlaamse pond,22552,2
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1732,11,17,Coffij,Javaans en Ceylons,ponden,23497,Claudore,Pieter en Abraham,Vlaamse pond,3352,7
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1732,11,17,Coffij,Javaans en Ceylons,ponden,4662,Face,Jeremias van,Vlaamse pond,659,14
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1732,11,17,Coffij,Javaans en Ceylons,ponden,120143,Beukelaar,Jan,Vlaamse pond,17135,11
NL-HaNA,1.04.02,13377,VOC kamer Zeeland,1732,11,17,Coffij,Javaans en Ceylons,ponden,151961,Boursse en Grimalla,,Vlaamse pond,21683,17
